v,x,y,yaw,s,km,kf
10,1,0,0,1,0,0
10,25.0010620295683,-29.9874078722603,-0.787023090981015,44.4790616867356,-0.058593015213218,0.12781139399074
10,5.08836969265846,-25.0373174577704,-0.77207072916375,35.2986557944008,-0.113436765616503,0.319964102550382
10,10.0523329642139,-25.0061861414467,-0.781927590393654,34.2905210249363,-0.102071968234865,0.269776369874413
10,14.9797140718661,-24.987065391958,-0.783392715217009,34.9325298658038,-0.087376823855049,0.215692114190724
10,19.9738015820289,-25.0035198843584,-0.780128438099393,36.7242841012703,-0.072636118355428,0.1636330514994
10,25.0062068755179,-24.9732772745491,-0.78759164109385,39.3342290387198,-0.059541220841634,0.118672636446152
10,4.99205081367127,-19.9883736873799,-0.790469909209761,27.8588830165561,-0.139266991582882,0.379420633417251
10,9.95095151545389,-19.9496151371092,-0.803218502634048,27.4893992391315,-0.119024496603052,0.29866602197049
10,14.965477421737,-19.9652741823505,-0.795978282150594,28.9306087900343,-0.095301435972529,0.217232171092495
10,20.0530791076509,-20.0186373291878,-0.777965719381308,31.5521210773497,-0.07425612904808,0.150611953332159
10,24.9785747437672,-20.0254750908145,-0.782607233324674,34.612895767673,-0.058457882336233,0.096787856610397
10,4.99187767253161,-14.988949569987,-0.793039365533429,20.6720299191401,-0.177022291261006,0.467000060613146
10,10.0212039431179,-15.0224477202255,-0.773968658123984,21.2615054821143,-0.137106471704534,0.324967724615897
10,14.950942363375,-14.9250321443629,-0.802712226554879,23.5656871084871,-0.099526940023591,0.197177643631117
10,19.9947721906197,-14.9904228140514,-0.786303195473001,26.9692892488793,-0.071657823594661,0.113637801975824
10,25.0680627089211,-15.0670351811822,-0.779760096065695,30.890456397016,-0.052729551914446,0.059460257180352
10,5.03202203936857,-10.0412277763704,-0.753566306804312,13.9387624051019,-0.232679851780373,0.60287769909086
10,9.98056957948422,-9.97792897542301,-0.794301898552419,15.6915759963269,-0.149701778900803,0.294592583127549
10,14.9391058799351,-9.93831048346607,-0.795991581118211,19.1640925352919,-0.092494410219706,0.123764476562753
