v,x,y,yaw,s,km,kf
3,1,0,0,1,0,0
3,25.0010620295684,-29.9874078722602,-0.787023090981016,44.4790616867356,-0.058593015213218,0.127811393990739
3,5.08836969265854,-25.0373174577704,-0.772070729163745,35.2986557944007,-0.113436765616504,0.319964102550375
3,10.052332964214,-25.0061861414467,-0.781927590393653,34.2905210249364,-0.102071968234864,0.269776369874417
3,14.9797140718662,-24.987065391958,-0.783392715217008,34.9325298658038,-0.087376823855049,0.215692114190724
3,19.9738015820288,-25.0035198843584,-0.780128438099396,36.7242841012703,-0.072636118355428,0.163633051499401
3,25.0062068755179,-24.9732772745491,-0.78759164109385,39.3342290387199,-0.059541220841634,0.118672636446153
3,4.99205081367124,-19.9883736873799,-0.790469909209759,27.8588830165561,-0.139266991582882,0.379420633417256
3,9.95095151545389,-19.9496151371092,-0.803218502634048,27.4893992391314,-0.119024496603052,0.298666021970485
3,15.0520733940661,-19.9369870966025,-0.78986174249134,28.8924468222854,-0.095100774132728,0.215759071608892
3,20.0078465514449,-20.0497245590363,-0.772243674207719,31.4250774166479,-0.074734065367415,0.149371624366296
3,25.0072112600654,-19.9992220422897,-0.784884413687126,34.7387918136418,-0.058180261987806,0.097902066605941
3,4.99187767253157,-14.988949569987,-0.793039365533441,20.6720299191401,-0.177022291261006,0.467000060613145
3,10.0212039431179,-15.0224477202255,-0.773968658123986,21.2615054821143,-0.137106471704534,0.3249677246159
3,14.9511384588409,-14.9249184580491,-0.802708544353751,23.561384950213,-0.099543655357205,0.196992781352263
3,19.9645616746654,-15.020295225913,-0.78343850224762,26.8890411597329,-0.07200786501209,0.113137019507774
3,25.0687962567881,-15.0661362398484,-0.779780105433631,30.8782259112219,-0.05273756272539,0.059287364075025
3,5.03202203936857,-10.0412277763704,-0.753566306804314,13.9387624051019,-0.232679851780372,0.602877699090865
3,9.98056957948422,-9.97792897542301,-0.794301898552418,15.6915759963269,-0.149701778900802,0.294592583127553
3,14.9391030007043,-9.9383136066217,-0.795991419839171,19.1643043720857,-0.092493761589859,0.123772866737364
3,19.9694089013,-9.97257800655578,-0.786943462452629,23.3326098357488,-0.060137738437449,0.038688629229822
